"message_id","current_exact_wording","approved_exact_wording","reason_and_preserved_behaviour","status","current_trigger_evidence","future_location","mapping_code_or_fact","test_ids","layout_evidence_ids","negative_test_ids","evidence_ids","deviation_id","reviewer","notes"
"MSG-061","Payee readiness setup is queued or running. Refresh shortly.","CloudTMS is setting up this bank account for payment. This payment will update automatically when the setup finishes.","Explains what CloudTMS is doing and avoids telling the user to repeatedly refresh.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-062","Payee setup failed","Bank account setup failed","Plain task/status name.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-063","Payee readiness could not run. Retry setup or contact support.","CloudTMS could not finish setting up this bank account. Try again, or contact support if it keeps failing.","Specific failure and next action. Retry must only appear when the server permits it.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-064","Umbrella inactive","Umbrella company inactive","Makes clear that the company account, not the candidate, is inactive.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-065","Umbrella inactive. Re-enable or review the umbrella before payment setup.","This umbrella company is inactive. Reactivate it before trying to pay the affected candidates.","States the required action and recognises that one umbrella can affect several candidates.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-066","Bank details missing.","Candidate bank details are missing.","Specifies the owner when the owner is the candidate.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-067","Umbrella bank details missing.","The umbrella company's bank details are missing.","Specifies the owner when the owner is an umbrella company.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-068","Bank/name check required.","Account name check required.","Uses the familiar account name term.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-069","Run bank/name check","Check account name","Short, plain action label. The existing route and permissions remain.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-070","Bank details/name check failed.","The account name does not match the bank details.","Use only for a definite FAIL result. Near match and unavailable must use their own messages below.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-071","Bank/name check returned a near match. Review before accepting.","The account name is a close match. Check the name and bank details before accepting them.","Keeps near match distinct from failure.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-072","Bank/name check could not be completed. Review before accepting.","The bank could not check the account name. Check the bank details before deciding whether to accept them.","Keeps UNAVAILABLE distinct and states the decision.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-073","Bank/name check failed. Review before accepting.","The account name does not match the bank details. Check both before accepting them.","Specific FAIL explanation and next step.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-074","Bank/name check passed and the bank account has been set up. Banking Pay will refresh this candidate now.","The account name matches and this bank account is ready for payment. Banking Pay is updating the candidate now.","Plain success message; current refresh remains.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-075","Bank/name check completed and needs review. Banking Pay will refresh this candidate now.","The account name check is complete. Review the result before this payment can be included. Banking Pay is updating the candidate now.","Explains why it is still Action Required. The detailed result must say fail, close match or unavailable.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-076","Bank/name check has been submitted. Banking Pay will refresh this candidate now.","The account name check has started. This payment will update automatically when the result is ready.","Correctly places the item in Updating.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-077","Bank account setup required.","Bank account needs setting up.","Plain state label.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-078","Bank/name check has passed or been accepted, but the provider payee map is missing.","The bank details have been checked, but this account has not yet been set up for payments.","Removes provider payee map while preserving the exact next action.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-079","Please confirm a reason for accepting this bank-name mismatch. This is auditable and will prevent this mismatch from blocking drafts for these bank details.","Enter why you are accepting this account-name mismatch. The reason will be saved in the audit history. These exact bank details will no longer block Draft creation.","Preserves mandatory reason, exact bank-details scope and audit trail.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-090","Review required.","Payment issue not identified","A generic review instruction does not say what to review. This title is used only for a genuinely unknown reason and the explanation below must accompany it.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-091","A raw blocker code with underscores replaced by spaces","CloudTMS could not identify why this payment is blocked. It will not be included. Refresh Banking Pay; if it remains blocked, contact support.","Keep the raw code in diagnostics, not as user wording. The item remains visible, counted and fail-closed.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-092","This case is currently blocked and needs review before it can move to Ready to Pay.","Show the exact server-published reason and what must change. If neither is available: CloudTMS could not identify why this payment is blocked. It will not be included. Refresh Banking Pay; if it remains blocked, contact support.","Removes a vague catch-all. No blocked item is hidden.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-093","This timesheet segment is currently blocked for pay.","Show the exact Timesheet reason. If it is unavailable: This Timesheet payment cannot be included because CloudTMS could not confirm its current status. Open the Timesheet or refresh Banking Pay.","Requires a specific reason while retaining exact Timesheets navigation and fail-closed state.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-094","entity_kind must be CANDIDATE or UMBRELLA","This payment is missing its bank-account owner. Refresh Banking Pay and try again.","Replaces an internal field name if a damaged action reaches the user.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-095","entity_id is required","This payment is missing its bank-account owner. Refresh Banking Pay and try again.","Same damaged-context family; no internal field name.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-096","bank_details_hash is required","The bank details changed or could not be confirmed. Refresh Banking Pay and try again.","Explains the safe next step without exposing the fingerprint field.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-097","Reason prompt modal is not available (openUiPromptModal missing).","The bank-details review window could not be opened. Refresh Banking Pay and try again.","Removes a JavaScript function name.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-098","Case key is required.","This payment case could not be identified. Refresh Banking Pay and try again.","Replaces an internal identity term.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-099","Candidate id is required.","This candidate could not be identified. Refresh Banking Pay and try again.","Replaces an internal field term.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-100","Timesheet id is required.","This Timesheet could not be identified. Refresh Banking Pay and try again.","Replaces an internal field term.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-101","Candidate and timesheet context are required for the expense set action.","CloudTMS could not identify the candidate and Timesheet for this expense action. Refresh Banking Pay and try again.","Explains the failed action in plain English.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-110","Create Draft disabled: selected rows need refresh","Create Draft is unavailable while selected payments are updating.","Plain reason; Draft stays disabled for the same authority condition.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-111","The current canonical preview page is still loading for this workbench session/version.","Banking Pay is loading the latest payment list.","Removes canonical, workbench and session/version.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-112","Loading the first Ready to Pay preview page.","Banking Pay is loading the latest payment list.","One consistent loading message.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-113","The displayed preview does not match the current workbench session/version. Refresh Banking Pay.","This payment list is out of date. Refresh Banking Pay before creating a Draft.","Preserves the fail-closed version fence.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-114","This payment preview is obsolete or has been replaced. Open the latest preview session.","A newer Banking Pay list is available. Open the latest list before creating a Draft.","Removes obsolete/session jargon and keeps the same block.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-115","Select at least one current eligible Ready to Pay row.","Include at least one candidate with a payment ready to pay.","Matches the candidate-based main interaction. Candidate Banking still allows payment-level selection.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-116","Select rows","Select candidates","Candidate-based disabled button text.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-117","Some beneficiary checks failed ({failed}/{attempted}). Those payees remain blocked until refreshed or corrected.","Some bank-account checks failed ({failed}/{attempted}). The affected payments cannot be included until the bank details are corrected or checked again.","Removes beneficiary/payee and makes the impact explicit.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-118","Beneficiary checks were performed during preview; use Refresh to re-check if bank details change.","Bank details were checked when this list was prepared. Use Refresh if those details have changed.","Plain description without preview jargon.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-119","PAYE draft creation is blocked because an existing PAYE draft already exists. Cancel or delete the existing PAYE draft first.","A PAYE Draft already exists. Cancel or delete it before creating another PAYE Draft.","Removes repetition; same hard guard.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-120","A non-draft PAYE batch already exists for this payroll week. Creating another PAYE batch for the same week is override-only. Replacement or cancellation is usually the correct path.","A PAYE payment batch already exists for this payroll week. Creating another requires extra security checks. Usually the existing batch should be replaced or cancelled instead.","Removes override-only jargon while keeping the warning and preferred safe path.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
"MSG-121","Override sequence required: password reauthentication, 2FA verification, then explicit continue confirmation.","To continue, confirm your password, complete 2FA and confirm that you want to create another PAYE batch.","Same security steps in direct language.","PASS_FINAL","Canonical audit plus current source characterization","Mapped v2 surface or retained legacy detail","Current source and generated legacy-detail parity","FINAL_FRONTEND801_CHROMIUM4","EVIDENCE-0097","FINAL_TYPED_STALE_TRANSPORT_EMPTY_NEGATIVES","EVIDENCE-0091 EVIDENCE-0092 EVIDENCE-0097 EVIDENCE-0098","","Codex final self-review with source tests and real TEST wording/layout","Final approved wording and trigger mapping pass. Existing copy not approved for change remains unchanged; new wording is plain English and retains the exact action/direction."
